日期,收市,開市,高,低,成交量,升跌（%）
2011/3/17,8282.69,8190.5,8282.69,8150.73,3.05M,-0.50%
2011/3/18,8394.75,8343.79,8399.17,8312.88,3.09M,1.35%
2011/3/21,8467.71,8421.66,8508.2,8394.22,2.46M,0.87%
2011/3/22,8508.04,8523.27,8552.82,8508.04,2.78M,0.48%
2011/3/23,8545.08,8529.93,8551.12,8481.96,2.47M,0.44%
2011/3/24,8576.4,8589.71,8603.43,8550.6,2.43M,0.37%
2011/3/25,8610.39,8645.37,8658.05,8587.84,2.45M,0.40%
2011/3/28,8553.06,8587.99,8604.24,8549.26,1.94M,-0.67%
2011/3/29,8596.57,8538.44,8596.57,8522.57,2.21M,0.51%
2011/3/30,8646.31,8605.83,8671.59,8605.83,2.54M,0.58%
2011/3/31,8683.3,8683.69,8685.44,8608.05,2.41M,0.43%
2011/4/1,8705.13,8697.84,8705.13,8654.4,1.91M,0.25%
2011/4/6,8851.98,8772.13,8860.02,8767.21,2.99M,1.69%
2011/4/7,8901.72,8884.84,8901.72,8828.92,2.64M,0.56%
2011/4/8,8894.54,8904.44,8929.06,8862.49,3.12M,-0.08%
2011/4/11,8880.27,8922.75,8922.75,8836.38,2.32M,-0.16%
2011/4/12,8732.59,8839.22,8839.22,8708.86,2.30M,-1.66%
2011/4/13,8780.2,8727.95,8780.2,8700.08,2.13M,0.55%
2011/4/14,8802.73,8787.75,8835.39,8772.3,2.28M,0.26%
2011/4/15,8718.12,8828.63,8834.07,8716.7,2.37M,-0.96%
2011/4/18,8714.48,8752.56,8764.65,8703.11,2.04M,-0.04%
2011/4/19,8638.55,8643.4,8658.97,8592.23,2.23M,-0.87%
2011/4/20,8813.28,8704.48,8813.28,8698.97,2.64M,2.02%
2011/4/21,8957.65,8893.07,8992.08,8892.06,3.69M,1.64%
2011/4/22,8969.43,8980.43,8992.67,8956.07,2.78M,0.13%
2011/4/25,8950.75,9015.91,9037.09,8950.75,2.70M,-0.21%
2011/4/26,8948.14,8894.01,8966.86,8866.74,2.39M,-0.03%
2011/4/27,9049.25,9012.28,9060.5,9012.28,3.11M,1.13%
2011/4/28,9040.77,9088.97,9099.75,9021.36,3.09M,-0.09%
2011/4/29,9007.87,9050.49,9058.78,8943.99,3.39M,-0.36%
2011/5/3,8946.08,9014.33,9018.7,8895.25,2.68M,-0.69%
2011/5/4,8947.35,8937.3,8947.35,8864.55,2.34M,0.01%
2011/5/5,9018.61,8930.24,9029.58,8907.97,2.70M,0.80%
2011/5/6,8977.23,8997.73,9018.4,8954.81,2.80M,-0.46%
2011/5/9,9035.48,9001.8,9081.26,8984.43,2.85M,0.65%
2011/5/10,9023.28,9048.25,9055.91,9007.93,2.17M,-0.14%
2011/5/11,9020.4,9073.88,9082.01,9014.36,2.36M,-0.03%
2011/5/12,9033.68,8977.77,9052.98,8963.24,2.34M,0.15%
2011/5/13,9006.61,9039.55,9059.46,8986.18,2.47M,-0.30%
2011/5/16,8911.71,8996.7,8996.7,8911.71,1.99M,-1.05%
2011/5/17,8884.09,8917.25,8928.99,8854.14,2.18M,-0.31%
2011/5/18,8944.84,8885.4,8946.99,8885.4,2.06M,0.68%
2011/5/19,8892.88,8952.25,9026.18,8888.21,2.57M,-0.58%
2011/5/20,8837.03,8944.38,8944.38,8822.75,2.28M,-0.63%
2011/5/23,8747.51,8767.3,8776.46,8695.34,2.12M,-1.01%
2011/5/24,8756.61,8730.23,8756.9,8673.38,2.15M,0.10%
2011/5/25,8727.09,8732.3,8763.64,8682.49,2.11M,-0.34%
2011/5/26,8788.4,8797.29,8807.08,8751.52,1.91M,0.70%
2011/5/27,8810,8806.29,8860.03,8803.59,2.08M,0.25%
2011/5/30,8823.68,8757.66,8844.03,8748.13,1.87M,0.16%
2011/5/31,8988.84,8860.58,9003.6,8860.58,2.90M,1.87%
2011/6/1,9062.35,8999.84,9089.47,8999.84,2.65M,0.82%
2011/6/2,8991.36,8981.71,9036.27,8977.67,2.22M,-0.78%
2011/6/3,9046.28,9024.54,9052.18,8997.35,1.89M,0.61%
2011/6/7,9057.1,9025.21,9059.19,8981.44,1.77M,0.12%
2011/6/8,9007.53,9044.85,9070.25,9007.53,1.88M,-0.55%
2011/6/9,9000.94,9020.6,9045.44,8996.08,1.72M,-0.07%
2011/6/10,8837.82,9042.35,9053.39,8837.82,2.19M,-1.81%
2011/6/13,8712.95,8791.67,8811.97,8703.52,1.96M,-1.41%
2011/6/14,8829.21,8737.24,8836.51,8737.24,1.69M,1.33%
2011/6/15,8831.45,8833.86,8876.14,8733.6,2.65M,0.03%
2011/6/16,8654.43,8739.84,8739.84,8654.43,2.09M,-2.00%
2011/6/17,8636.1,8671.45,8702,8618.85,2.25M,-0.21%
2011/6/20,8530.68,8679.15,8685.33,8518.66,2.20M,-1.22%
2011/6/21,8597.62,8571.93,8617.96,8523.04,2.09M,0.78%
2011/6/22,8621.04,8663.86,8679.37,8598.08,2.08M,0.27%
2011/6/23,8567.28,8601.15,8619.39,8559.33,1.84M,-0.62%
2011/6/24,8532.83,8567.46,8569.59,8508.16,2.05M,-0.40%
2011/6/27,8500.16,8456.36,8519.21,8433.46,2.00M,-0.38%
2011/6/28,8478.86,8536.13,8572.62,8478.69,1.84M,-0.25%
2011/6/29,8573.38,8540.35,8598.22,8499.24,2.34M,1.11%
2011/6/30,8652.59,8582.08,8652.59,8576.65,2.28M,0.92%
2011/7/1,8739.82,8684.39,8744.2,8659.57,2.42M,1.01%
2011/7/4,8774.72,8801.51,8808.47,8772.33,2.32M,0.40%
2011/7/5,8784.44,8777.22,8794.14,8743.45,2.20M,0.11%
2011/7/6,8824.44,8790.94,8842.17,8768.35,2.20M,0.46%
2011/7/7,8773.42,8795,8795.88,8757.47,2.35M,-0.58%
2011/7/8,8749.55,8782.72,8839.14,8740,2.65M,-0.27%
2011/7/11,8665.85,8749.55,8749.55,8633.55,2.01M,-0.96%
2011/7/12,8491.01,8581.43,8595.07,8479.9,2.55M,-2.02%
2011/7/13,8488.06,8480.26,8539.18,8452.86,2.39M,-0.03%
2011/7/14,8481.35,8495.51,8531.96,8410.44,2.52M,-0.08%
2011/7/15,8574.91,8494.7,8579.8,8462.05,2.60M,1.10%
2011/7/18,8538.57,8550.16,8580.33,8473.91,2.46M,-0.42%
2011/7/19,8524.57,8528.2,8554.41,8490.79,2.25M,-0.16%
2011/7/20,8706.17,8612.53,8706.17,8612.53,2.87M,2.13%
2011/7/21,8717.14,8705.84,8725.97,8683.05,2.80M,0.13%
2011/7/22,8765.32,8770.95,8794.48,8741.09,3.26M,0.55%
2011/7/25,8683.51,8764.68,8786.03,8661.76,2.43M,-0.93%
2011/7/26,8794.24,8700.59,8794.24,8689.15,2.36M,1.28%
2011/7/27,8817.49,8775.18,8819.93,8754.51,2.98M,0.26%
2011/7/28,8767.2,8739.83,8790.68,8702.84,2.85M,-0.57%
2011/7/29,8644.18,8737.72,8771.64,8638.67,3.09M,-1.40%
2011/8/1,8701.38,8629.97,8707.87,8629.97,3.19M,0.66%
2011/8/2,8584.72,8629.09,8629.09,8557.7,2.82M,-1.34%
2011/8/3,8456.86,8466.35,8472.27,8360.73,3.45M,-1.49%
2011/8/4,8317.27,8472.37,8496.07,8317.27,3.29M,-1.65%
2011/8/5,7853.13,7962.87,7975.82,7844.77,4.30M,-5.58%
2011/8/8,7552.8,7769.6,7799.49,7451.29,4.30M,-3.82%
2011/8/9,7493.12,7261.54,7599.14,7148.76,5.37M,-0.79%
2011/8/10,7736.32,7717.58,7751.59,7632.34,4.55M,3.25%
2011/8/11,7719.09,7566.39,7761.4,7499.54,3.75M,-0.22%
2011/8/12,7637.02,7825.8,7853.53,7637.02,3.47M,-1.06%
2011/8/15,7819.39,7769.17,7819.39,7748.46,2.22M,2.39%
